>Common steps from all curves of the folder:
filename,orientation,Derivative of,step number,F1,F2,Fc,step start,step end,step length,filename,model,log_likelihood,Lc_ds,Lp_ds,Lp_ds_stderr,St_ds,Lc_ss,Lc_ss_stderr,Lp_ss,St_ss,f_offset,d_offset,Work_(pN*nm),Work_(kB*T)
20240823-100836 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_1-1f,forward,,0,,,,,,,,,,,,,,,,,,,,,
20240823-100836 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_1-1f,forward,Distance,1,19.04479470585286,14.786550403150853,16.915672554501857,1237.6624129962925,1268.1194564921343,30.457043495841845,,,,,,,,,,,,,,,
20240823-100836 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_1-1f,forward,Distance,2,17.542857529049538,17.133988951482117,17.338423240265826,1281.1042388477867,1290.5616446521408,9.457405804354039,,,,,,,,,,,,,,,
20240823-100852 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_1-1r,reverse,,0,,,,,,,,,,,,,,,,,,,,,
20240823-100852 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_1-1r,reverse,Distance,1,15.46023016247322,15.181052911572245,15.320641537022732,1283.0483601634332,1289.3006724703644,6.252312306931117,,,,,,,,,,,,,,,
20240823-100852 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_1-1r,reverse,Distance,2,16.81990743474777,16.77609442190807,16.79800092832792,1292.456827806465,1299.93399653886,7.47716873239483,,,,,,,,,,,,,,,
20240823-101512 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2-1f,forward,,0,,,,,,,,,,,,,,,,,,,,,
20240823-101512 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2-1f,forward,Distance,1,19.86324421577669,15.71217388345475,17.78770904961572,1186.8969535063707,1216.5313702957437,29.634416789373063,,,,,,,,,,,,,,,
20240823-101529 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2-1r,reverse,,0,,,,,,,,,,,,,,,,,,,,,
20240823-101529 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2-1r,reverse,Distance,1,13.52329666965237,13.31294389047688,13.418120280064624,1184.1677373154544,1190.7012177803697,6.533480464915328,,,,,,,,,,,,,,,
20240823-101551 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2-2f,forward,,0,,,,,,,,,,,,,,,,,,,,,
20240823-101551 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2-2f,forward,Distance,1,19.990583378106983,15.763803669210057,17.87719352365852,1187.6257933116567,1216.6365760572114,29.010782745554707,,,,,,,,,,,,,,,
20240823-101551 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2-2f,forward,Distance,2,16.42137371014106,16.31359284690923,16.367483278525146,1216.5895677656483,1222.1013802021512,5.511812436502851,,,,,,,,,,,,,,,
20240823-101551 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2-2f,forward,Distance,3,17.578503342411754,17.528029871536255,17.553266606974006,1229.6598813584928,1235.3644912230473,5.704609864554413,,,,,,,,,,,,,,,
20240823-101551 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2-2f,forward,Distance,4,18.023536544992776,18.01759755301609,18.020567049004434,1236.5088686687739,1246.8966499588948,10.387781290120984,,,,,,,,,,,,,,,
20240823-101607 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2-2r,reverse,,0,,,,,,,,,,,,,,,,,,,,,
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,,0,,,,,,,,,,,,,,,,,,,,,
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Distance,1,18.721488668794755,17.28345197891069,18.002470323852723,1155.7477469129253,1171.5433634173514,15.795616504426107,,,,,,,,,,,,,,,
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Distance,2,19.792641944874642,15.653250268890622,17.72294610688263,1186.8363272976508,1216.1933976301,29.35707033244921,,,,,,,,,,,,,,,
20240823-101628 FD Curve 2024-08-23_HIV-1_extFSE+AGG_5-3mutBS_1014_2multi,forward,Distance,3,18.46341280874244,18.315082921679014,18.389247865210727,1236.0780603237286,1244.9582734115334,8.880213087804805,,,,,,,,,,,,,,,
